CEPI,CEPF,PRAZO(DIAS ÚTEIS),FRETE TOTAL MÍNIMO,10.000,20.000,30.000,50.000,75.000,100.000,VALOR EXCEDENTE,FRETE VALOR SOBRE A NOTA(%),TAS VALOR FIXO,SEGURO FLUVIAL MÍNIMO,SEGURO FLUVIAL(%),PEDÁGIO VALOR FIXO,PEDÁGIO FRAÇÃO A CADA x KG,SEGURO(%),OUTRA TAXA MÍNIMO,OUTRA TAXA(%),GRIS MÍNIMO,GRIS(%),TDE MÍNIMO,TDE MÁXIMO,TDE(%),CTE VALOR FIXO
12600001,12614999,7,,"54,19","63,67","75,08","95,89","132,4","184,92","1,96",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
12615000,12619999,7,,"54,19","63,67","75,08","95,89","132,4","184,92","1,96",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
12620000,12629999,9,,"54,19","63,67","75,08","95,89","132,4","184,92","1,96",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
12630000,12689999,10,,"54,19","63,67","75,08","95,89","132,4","184,92","1,96",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
12690000,12699999,12,,"54,19","63,67","75,08","95,89","132,4","184,92","1,96",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
12700001,12759999,10,,"54,19","63,67","75,08","95,89","132,4","184,92","1,96",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
12760000,12799999,12,,"54,19","63,67","75,08","95,89","132,4","184,92","1,96",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
12800000,12819999,12,,"54,19","63,67","75,08","95,89","132,4","184,92","1,96",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
12820000,12829999,12,,"54,19","63,67","75,08","95,89","132,4","184,92","1,96",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
12830000,12849999,12,,"54,19","63,67","75,08","95,89","132,4","184,92","1,96",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
12850000,12869999,12,,"54,19","63,67","75,08","95,89","132,4","184,92","1,96",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
12870000,12899999,12,,"54,19","63,67","75,08","95,89","132,4","184,92","1,96",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
